Date,Partners,OA,Transactions,Transactions Delivered
2024-01-25,NEUTRAFIX,MIDEA,.00000000,.00000000
2024-01-25,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-25,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-25,D-WAV01TCL--,EASYCASH,.00000000,.00000000
2024-01-25,D-WAV01TCL--,GOJEK,.00000000,.00000000
2024-01-27,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-28,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-29,TOG,CASETIFY,.00000000,.00000000
2024-01-30,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-01-30,TOG,CASETIFY,.00000000,.00000000
2024-01-31,TOG,MIDEA,.00000000,.00000000
2024-01-01,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-02,CITIC,P2P(HK),.00000000,.00000000
2024-01-02,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-03,ORANGE,P2P(SL),.00000000,.00000000
2024-01-04,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-05,CITIC,P2P(HK),.00000000,.00000000
2024-01-07,CITIC,P2P(HK),.00000000,.00000000
2024-01-08,ALIBABA,X,.00000000,.00000000
2024-01-09,TOG,KUCOIN,.00000000,.00000000
2024-01-11,NEUTRAFIX,SUBMAIL,.00000000,.00000000
2024-01-13,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-14,GTS,KONSEL,.00000000,.00000000
2024-01-15,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-16,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-16,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-16,TOG,ONETIMECOD,.00000000,.00000000
2024-01-17,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-18,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-19,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-24,TOG,CASETIFY,.00000000,.00000000
2024-01-25,NEUTRAFIX,MIDEA,.00000000,.00000000
2024-01-27,TOG,CASETIFY,.00000000,.00000000
2024-01-29,SAP(P2P),X,.00000000,.00000000
2024-01-30,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-30,NEUTRAFIX,CAMSCANNER,.00000000,.00000000
2024-01-30,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-01-30,SAP(P2P),X,.00000000,.00000000
2024-01-01,CITIC,P2P(HK),.00000000,.00000000
2024-01-03,TOG,KUCOIN,.00000000,.00000000
2024-01-05,CITIC(P2P),P2P(CN),.00000000,.00000000
2024-01-08,TELESIGN,FREELANCER,.00000000,.00000000
2024-01-08,CITIC(P2P),P2P(CN),.00000000,.00000000
2024-01-12,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-13,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-13,SAP(P2P),X,.00000000,.00000000
2024-01-15,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-16,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-16,SAP(P2P),X,.00000000,.00000000
2024-01-18,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-18,TOG,ONETIMECOD,.00000000,.00000000
2024-01-19,TOG,NOTICE,.00000000,.00000000
2024-01-19,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-19,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-20,TOG,CASETIFY,.00000000,.00000000
2024-01-21,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-22,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-23,TOG,CASETIFY,.00000000,.00000000
2024-01-24,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-27,CITIC,P2P(HK),.00000000,.00000000
2024-01-28,CITIC,P2P(HK),.00000000,.00000000
2024-01-29,SAP(P2P),P2P(TIMOR),.00000000,.00000000
2024-01-30,CITIC,P2P(HK),.00000000,.00000000
2024-01-30,NEUTRAFIX,CAMSCANNER,.00000000,.00000000
2024-01-30,TOG,KUCOIN,.00000000,.00000000
2024-01-03,PAASOO,MM1,.00000000,.00000000
2024-01-06,TOG,MONOBANK,.00000000,.00000000
2024-01-09,TOG,P2P(SG),.00000000,.00000000
2024-01-11,NEUTRAFIX,KONSEL,.00000000,.00000000
2024-01-12,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-12,TOG,CASETIFY,.00000000,.00000000
2024-01-13,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-14,TOG,CASETIFY,.00000000,.00000000
2024-01-15,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-16,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-17,TELESIGN,FREELANCER,.00000000,.00000000
2024-01-17,TOG,CASETIFY,.00000000,.00000000
2024-01-18,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-18,NEUTRAFIX,SECURE,.00000000,.00000000
2024-01-21,CITIC,P2P(HK),.00000000,.00000000
2024-01-21,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-22,CITIC,P2P(HK),.00000000,.00000000
2024-01-22,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-24,CITIC,P2P(HK),.00000000,.00000000
2024-01-25,CITIC,P2P(HK),.00000000,.00000000
2024-01-25,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-27,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-28,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-01,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-01,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-01,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-02,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-02,ORANGE,P2P(SL),.00000000,.00000000
2024-01-02,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-03,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-04,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-04,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-06,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-06,NEUTRAFIX,X,.00000000,.00000000
2024-01-06,TOG,CASETIFY,.00000000,.00000000
2024-01-08,TOG,CASETIFY,.00000000,.00000000
2024-01-09,TOG,CASETIFY,.00000000,.00000000
2024-01-11,TOG,CASETIFY,.00000000,.00000000
2024-01-12,NEUTRAFIX,DIDI,.00000000,.00000000
2024-01-14,SAP(P2P),P2P(PH),.00000000,.00000000
2024-01-14,GTS,DBS BANK,.00000000,.00000000
2024-01-15,CITIC,P2P(HK),.00000000,.00000000
2024-01-16,CITIC,P2P(HK),.00000000,.00000000
2024-01-18,CITIC,P2P(HK),.00000000,.00000000
2024-01-19,CITIC,P2P(HK),.00000000,.00000000
2024-01-21,TOG,SECURE,.00000000,.00000000
2024-01-24,SAP(P2P),X,.00000000,.00000000
2024-01-25,TOG,NOTICE,.00000000,.00000000
2024-01-25,SAP(P2P),X,.00000000,.00000000
2024-01-28,TOG,NOTICE,.00000000,.00000000
2024-01-28,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-28,SAP(P2P),X,.00000000,.00000000
2024-01-29,LANCK TELECOM,FSTCRY,.00000000,.00000000
2024-01-29,TOG,ONETIMECOD,.00000000,.00000000
2024-01-30,NEUTRAFIX,UBER,.00000000,.00000000
2024-01-30,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-31,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-01-31,TOG,AMAZON,.00000000,.00000000
2024-01-31,TOG,BLUEGROUND,.00000000,.00000000
2024-01-02,TOG,CASETIFY,.00000000,.00000000
2024-01-03,KAYEYRA,MICROSOFT,.00000000,.00000000
2024-01-03,KAYEYRA,MSVERIFY,.00000000,.00000000
2024-01-03,TOG,CASETIFY,.00000000,.00000000
2024-01-05,TOG,CASETIFY,.00000000,.00000000
2024-01-05,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-07,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-07,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-08,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-09,CITIC,P2P(HK),.00000000,.00000000
2024-01-09,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-10,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-10,CITIC,P2P(HK),.00000000,.00000000
2024-01-10,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-12,CITIC,P2P(HK),.00000000,.00000000
2024-01-12,TOG,KUCOIN,.00000000,.00000000
2024-01-13,CITIC,P2P(HK),.00000000,.00000000
2024-01-14,TOG,KUCOIN,.00000000,.00000000
2024-01-17,LANCK TELECOM,OLYMPTRADE,.00000000,.00000000
2024-01-18,SAP(P2P),X,.00000000,.00000000
2024-01-18,SAP(P2P),P2P(TIMOR),.00000000,.00000000
2024-01-22,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-22,MESSAGEBIRD,HASHKEY,.00000000,.00000000
2024-01-22,SAP(P2P),X,.00000000,.00000000
2024-01-23,TOG,NOTICE,.00000000,.00000000
2024-01-23,TOG,SEGWAY,.00000000,.00000000
2024-01-24,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-25,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-25,TOG,SECURE,.00000000,.00000000
2024-01-27,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-27,TOG,SECURE,.00000000,.00000000
2024-01-28,TOG,SECURE,.00000000,.00000000
2024-01-30,NEUTRAFIX,KAKAO,.00000000,.00000000
2024-01-30,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-01-30,TOG,MIDEA,.00000000,.00000000
2024-01-30,TOG,SECURE,.00000000,.00000000
2024-01-31,TOG,CASETIFY,.00000000,.00000000
2024-01-05,SAP(P2P),X,.00000000,.00000000
2024-01-06,CITIC,P2P(HK),.00000000,.00000000
2024-01-06,TOG,MONOBANK,.00000000,.00000000
2024-01-07,CITIC,P2P(HK),.00000000,.00000000
2024-01-08,SAP(P2P),X,.00000000,.00000000
2024-01-09,TOG,KUCOIN,.00000000,.00000000
2024-01-11,PAASOO,KSAKA,.00000000,.00000000
2024-01-12,NEUTRAFIX,DIDI,.00000000,.00000000
2024-01-12,SAP(P2P),P2P(AU),.00000000,.00000000
2024-01-13,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-14,GTS,KONSEL,.00000000,.00000000
2024-01-14,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-14,SAP(P2P),P2P(PH),.00000000,.00000000
2024-01-16,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-17,TELESIGN,FREELANCER,.00000000,.00000000
2024-01-20,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-21,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-23,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-24,TOG,NOTICE,.00000000,.00000000
2024-01-24,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-24,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-25,TOG,ONETIMECOD,.00000000,.00000000
2024-01-25,TOG,NOTICE,.00000000,.00000000
2024-01-26,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-27,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-29,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-29,TOG,CASETIFY,.00000000,.00000000
2024-01-31,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-01-01,CITIC,P2P(HK),.00000000,.00000000
2024-01-02,TOG,KUCOIN,.00000000,.00000000
2024-01-03,CITIC,P2P(HK),.00000000,.00000000
2024-01-03,TOG,KUCOIN,.00000000,.00000000
2024-01-05,TOG,KUCOIN,.00000000,.00000000
2024-01-06,LANCK TELECOM,OKRU,.00000000,.00000000
2024-01-08,ALIBABA,X,.00000000,.00000000
2024-01-11,SAP(P2P),P2P(870),.00000000,.00000000
2024-01-16,TOG,ONETIMECOD,.00000000,.00000000
2024-01-16,TOG,SECURE,.00000000,.00000000
2024-01-17,LANCK TELECOM,OLYMPTRADE,.00000000,.00000000
2024-01-17,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-18,TOG,SECURE,.00000000,.00000000
2024-01-19,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-19,TOG,ONETIMECOD,.00000000,.00000000
2024-01-19,TOG,NOTICE,.00000000,.00000000
2024-01-20,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-20,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-20,TOG,CASETIFY,.00000000,.00000000
2024-01-21,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-22,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-22,TOG,CASETIFY,.00000000,.00000000
2024-01-23,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-23,TOG,CASETIFY,.00000000,.00000000
2024-01-25,NEUTRAFIX,MIDEA,.00000000,.00000000
2024-01-25,D-WAV01TCL--,GOJEK,.00000000,.00000000
2024-01-25,TOG,CASETIFY,.00000000,.00000000
2024-01-26,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-27,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-29,CITIC,P2P(HK),.00000000,.00000000
2024-01-29,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-29,SAP(P2P),P2P(TIMOR),.00000000,.00000000
2024-01-30,SAP(P2P),X,.00000000,.00000000
2024-01-30,CITIC,P2P(HK),.00000000,.00000000
2024-01-30,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-30,NEUTRAFIX,UBER,.00000000,.00000000
2024-01-31,TOG,HB-2013050,.00000000,.00000000
2024-01-01,SAP(P2P),P2P(TIMOR),.00000000,.00000000
2024-01-03,PAASOO,MM1,.00000000,.00000000
2024-01-05,TOG,ONETIMECOD,.00000000,.00000000
2024-01-06,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-07,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-09,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-09,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-10,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-11,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-12,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-13,NEUTRAFIX,KONSEL,.00000000,.00000000
2024-01-14,TOG,CASETIFY,.00000000,.00000000
2024-01-16,TOG,CASETIFY,.00000000,.00000000
2024-01-17,TOG,CASETIFY,.00000000,.00000000
2024-01-18,TELESIGN,MEXC,.00000000,.00000000
2024-01-19,TOG,CASETIFY,.00000000,.00000000
2024-01-23,CITIC,P2P(HK),.00000000,.00000000
2024-01-23,ORANGE,P2P(SL),.00000000,.00000000
2024-01-23,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-24,CITIC,P2P(HK),.00000000,.00000000
2024-01-25,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-25,TOG,P2P(US),.00000000,.00000000
2024-01-26,CITIC,P2P(HK),.00000000,.00000000
2024-01-26,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-27,CITIC,P2P(HK),.00000000,.00000000
2024-01-27,TOG,SECURE,.00000000,.00000000
2024-01-29,NEUTRAFIX,JPMCPB,.00000000,.00000000
2024-01-29,TOG,SECURE,.00000000,.00000000
2024-01-30,TOG,SECURE,.00000000,.00000000
2024-01-01,CITIC(P2P),P2P(CN),.00000000,.00000000
2024-01-01,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-02,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-03,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-04,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-07,PAASOO,MM1,.00000000,.00000000
2024-01-08,TELESIGN,FREELANCER,.00000000,.00000000
2024-01-08,TOG,CASETIFY,.00000000,.00000000
2024-01-09,SAP(P2P),P2P(GM),.00000000,.00000000
2024-01-10,TOG,CASETIFY,.00000000,.00000000
2024-01-11,TOG,CASETIFY,.00000000,.00000000
2024-01-13,SAP(P2P),X,.00000000,.00000000
2024-01-13,TOG,AMAZON,.00000000,.00000000
2024-01-13,TOG,CASETIFY,.00000000,.00000000
2024-01-14,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-15,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-16,SAP(P2P),X,.00000000,.00000000
2024-01-17,CITIC,P2P(HK),.00000000,.00000000
2024-01-17,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-18,CITIC,P2P(HK),.00000000,.00000000
2024-01-18,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-20,CITIC,P2P(HK),.00000000,.00000000
2024-01-21,CITIC,P2P(HK),.00000000,.00000000
2024-01-21,SAP(P2P),P2P(870),.00000000,.00000000
2024-01-24,SAP(P2P),P2P(870),.00000000,.00000000
2024-01-28,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-28,TOG,NOTICE,.00000000,.00000000
2024-01-29,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-29,TOG,ONETIMECOD,.00000000,.00000000
2024-01-30,NEUTRAFIX,RESTAURANT,.00000000,.00000000
2024-01-30,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-31,NEUTRAFIX,X,.00000000,.00000000
2024-01-02,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-02,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-02,TOG,CASETIFY,.00000000,.00000000
2024-01-03,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-03,KAYEYRA,MICROSOFT,.00000000,.00000000
2024-01-03,KAYEYRA,MSVERIFY,.00000000,.00000000
2024-01-03,ORANGE,P2P(SL),.00000000,.00000000
2024-01-03,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-04,TOG,CASETIFY,.00000000,.00000000
2024-01-05,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-05,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-05,TOG,CASETIFY,.00000000,.00000000
2024-01-06,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-06,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-07,TOG,CASETIFY,.00000000,.00000000
2024-01-08,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-11,CITIC,P2P(HK),.00000000,.00000000
2024-01-12,CITIC,P2P(HK),.00000000,.00000000
2024-01-14,CITIC,P2P(HK),.00000000,.00000000
2024-01-14,TOG,KUCOIN,.00000000,.00000000
2024-01-15,CITIC,P2P(HK),.00000000,.00000000
2024-01-18,TOG,SECURE,.00000000,.00000000
2024-01-25,NEUTRAFIX,SECURE,.00000000,.00000000
2024-01-28,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-28,SAP(P2P),X,.00000000,.00000000
2024-01-29,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-29,SAP(P2P),X,.00000000,.00000000
2024-01-30,NEUTRAFIX,KAKAO,.00000000,.00000000
2024-01-30,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-01-31,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-02,ORANGE,P2P(SL),.00000000,.00000000
2024-01-03,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-05,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-06,CITIC,P2P(HK),.00000000,.00000000
2024-01-06,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-08,CITIC,P2P(HK),.00000000,.00000000
2024-01-08,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-09,CITIC,P2P(HK),.00000000,.00000000
2024-01-09,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-01,CITIC,BOCOMHK,9.00000000,9.00000000
2024-01-01,CLX,AUBANK,3.00000000,3.00000000
2024-01-01,CLX,NESTLE,6.00000000,6.00000000
2024-01-01,CM.COM,HONOR,9.00000000,9.00000000
2024-01-01,CM.COM,TABLECHECK,30.00000000,30.00000000
2024-01-01,NEUTRAFIX,AISLCO,1.00000000,1.00000000
2024-01-01,NEUTRAFIX,BADOO,3850.00000000,3850.00000000
2024-01-01,NEUTRAFIX,BATIKAIR,16.00000000,16.00000000
2024-01-01,NEUTRAFIX,BPI-OTP,12.00000000,12.00000000
2024-01-01,NEUTRAFIX,EPICGAMES,230.00000000,230.00000000
2024-01-01,NEUTRAFIX,OKX,4.00000000,4.00000000
2024-01-01,NEUTRAFIX,TLWIFI,18.00000000,18.00000000
2024-01-01,NEUTRAFIX,VOTEESMS,8.00000000,8.00000000
2024-01-01,NEUTRAFIX,BUMBLE,5.00000000,5.00000000
2024-01-01,NEUTRAFIX,AXISBK,4.00000000,4.00000000
2024-01-01,NEUTRAFIX,BERSHKA.CO,1.00000000,1.00000000
2024-01-01,NEUTRAFIX,BUMBLE,23.00000000,23.00000000
2024-01-01,NEUTRAFIX,CIGNA,8.00000000,8.00000000
2024-01-01,NEUTRAFIX,COINS.PH,1.00000000,1.00000000
2024-01-01,NEUTRAFIX,CURIOUSCAT,62.00000000,62.00000000
2024-01-01,NEUTRAFIX,DIDI,25.00000000,25.00000000
2024-01-01,NEUTRAFIX,FACEBOOK,1574.00000000,1574.00000000
2024-01-01,NEUTRAFIX,INTUIT,11.00000000,11.00000000
2024-01-01,NEUTRAFIX,JETSTAR,139.00000000,139.00000000
2024-01-01,NEUTRAFIX,P2P(IN),2.00000000,2.00000000
2024-01-01,NEUTRAFIX,PAYBIS,16.00000000,16.00000000
2024-01-01,NEUTRAFIX,POLE STAR,228.00000000,228.00000000
2024-01-01,NEUTRAFIX,TRUECALLER,426.00000000,426.00000000
2024-01-01,NEUTRAFIX,UBER,11.00000000,11.00000000
2024-01-01,NEUTRAFIX,WEVERSE,10.00000000,10.00000000
2024-01-01,NEUTRAFIX,LIKE,3.00000000,3.00000000
2024-01-01,MESSAGEBIRD,DBSVONLINE,2.00000000,2.00000000
2024-01-01,MESSAGEBIRD,INTLSOS,6.00000000,6.00000000
2024-01-01,MESSAGEBIRD,SYNGENTA,86.00000000,86.00000000
2024-01-01,NEXMO,CLOPEN,4.00000000,4.00000000
2024-01-01,NEXMO,SNAPCHAT,105.00000000,105.00000000
2024-01-01,NEXMO,UOB,83.00000000,83.00000000
2024-01-01,SAP(P2P),P2P(ES),11.00000000,11.00000000
