Date,Partners,OA,Transactions,Transactions Delivered
2024-02-16,NEUTRAFIX,HB-2013050,.00000000,.00000000
2024-02-16,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-16,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-16,NEUTRAFIX,X,.00000000,.00000000
2024-02-19,NEUTRAFIX,BOYAA,.00000000,.00000000
2024-02-27,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-28,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-29,NEUTRAFIX,ADP,.00000000,.00000000
2024-02-29,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-01,NEUTRAFIX,CAMSCANNER,.00000000,.00000000
2024-02-01,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-02,CITIC(P2P),P2P(CN),.00000000,.00000000
2024-02-02,SAP(P2P),P2P(IQ),.00000000,.00000000
2024-02-02,CITIC,P2P(HK),.00000000,.00000000
2024-02-02,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-03,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-04,CITIC,P2P(HK),.00000000,.00000000
2024-02-04,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-05,CITIC,P2P(HK),.00000000,.00000000
2024-02-06,NEUTRAFIX,BOYAA,.00000000,.00000000
2024-02-06,NEUTRAFIX,P2P(DE),.00000000,.00000000
2024-02-07,CITIC,P2P(HK),.00000000,.00000000
2024-02-07,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-08,NEUTRAFIX,P2P(DE),.00000000,.00000000
2024-02-08,TOG,SECURE,.00000000,.00000000
2024-02-09,TOG,KUCOIN,.00000000,.00000000
2024-02-09,NEUTRAFIX,P2P(DE),.00000000,.00000000
2024-02-10,TOG,SECURE,.00000000,.00000000
2024-02-12,NEUTRAFIX,DAHANSMS,.00000000,.00000000
2024-02-13,NEUTRAFIX,JPMCPB,.00000000,.00000000
2024-02-15,TOG,ONETIMECOD,.00000000,.00000000
2024-02-16,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-16,TOG,ONETIMECOD,.00000000,.00000000
2024-02-17,NEUTRAFIX,UBER,.00000000,.00000000
2024-02-17,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-19,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-19,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-20,NEUTRAFIX,CIGNA,.00000000,.00000000
2024-02-20,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-21,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-22,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-23,NEUTRAFIX,NXSMS,.00000000,.00000000
2024-02-25,NEUTRAFIX,NXSMS,.00000000,.00000000
2024-02-26,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-26,SAP(P2P),X,.00000000,.00000000
2024-02-27,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-28,NEUTRAFIX,COINSTORE,.00000000,.00000000
2024-02-28,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-29,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-01,CITIC,P2P(HK),.00000000,.00000000
2024-02-01,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-03,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-03,NEUTRAFIX,P2P(DE),.00000000,.00000000
2024-02-04,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-06,NEUTRAFIX,DAHANSMS,.00000000,.00000000
2024-02-09,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-09,TOG,ONETIMECOD,.00000000,.00000000
2024-02-09,CITIC(P2P),P2P(CN),.00000000,.00000000
2024-02-10,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-10,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-11,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-12,NEUTRAFIX,MACQUARIE,.00000000,.00000000
2024-02-13,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-14,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-16,NEUTRAFIX,HUAWEI,.00000000,.00000000
2024-02-16,TOG,SECURE,.00000000,.00000000
2024-02-16,NEUTRAFIX,NHNCORP,.00000000,.00000000
2024-02-24,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-24,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-25,NEUTRAFIX,PAYONEER,.00000000,.00000000
2024-02-25,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-25,NEUTRAFIX,CITIBK,.00000000,.00000000
2024-02-25,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-26,NEUTRAFIX,NXSMS,.00000000,.00000000
2024-02-27,CITIC,P2P(HK),.00000000,.00000000
2024-02-27,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-27,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-28,NEUTRAFIX,BOYAA,.00000000,.00000000
2024-02-28,NEUTRAFIX,NXSMS,.00000000,.00000000
2024-02-28,NEUTRAFIX,PAYONEER,.00000000,.00000000
2024-02-28,CITIC,P2P(HK),.00000000,.00000000
2024-02-28,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-29,NEUTRAFIX,CIGNA,.00000000,.00000000
2024-02-01,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-02,NEUTRAFIX,DAHANSMS,.00000000,.00000000
2024-02-02,CITIC(P2P),P2P(CN),.00000000,.00000000
2024-02-02,NEUTRAFIX,JPMCPB,.00000000,.00000000
2024-02-02,NEUTRAFIX,DAHANSMS,.00000000,.00000000
2024-02-02,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-04,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-07,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-09,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-09,TOG,ONETIMECOD,.00000000,.00000000
2024-02-10,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-10,TOG,HB-2013050,.00000000,.00000000
2024-02-10,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-10,SAP(P2P),X,.00000000,.00000000
2024-02-11,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-12,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-12,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-12,TOG,CASETIFY,.00000000,.00000000
2024-02-13,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-13,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-14,TOG,CASETIFY,.00000000,.00000000
2024-02-14,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-15,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-15,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-15,NEUTRAFIX,P2P(DE),.00000000,.00000000
2024-02-15,TOG,CASETIFY,.00000000,.00000000
2024-02-16,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-16,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-21,CITIC,P2P(HK),.00000000,.00000000
2024-02-22,CITIC,P2P(HK),.00000000,.00000000
2024-02-24,CITIC,P2P(HK),.00000000,.00000000
2024-02-25,CITIC,P2P(HK),.00000000,.00000000
2024-02-01,TOG,SECURE,.00000000,.00000000
2024-02-02,SAP(P2P),P2P(TIMOR),.00000000,.00000000
2024-02-02,TOG,SECURE,.00000000,.00000000
2024-02-04,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-05,TOG,ONETIMECOD,.00000000,.00000000
2024-02-05,NEUTRAFIX,JPMCPB,.00000000,.00000000
2024-02-05,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-05,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-05,TOG,NOTICE,.00000000,.00000000
2024-02-06,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-06,MESSAGEBIRD,HASHKEY,.00000000,.00000000
2024-02-06,SAP(P2P),X,.00000000,.00000000
2024-02-07,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-07,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-07,TOG,HB-2013050,.00000000,.00000000
2024-02-07,TOG,NOTICE,.00000000,.00000000
2024-02-07,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-08,TOG,CASETIFY,.00000000,.00000000
2024-02-08,TOG,ONETIMECOD,.00000000,.00000000
2024-02-08,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-08,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-09,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-09,TOG,CASETIFY,.00000000,.00000000
2024-02-10,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-10,TOG,ADP,.00000000,.00000000
2024-02-11,SAP(P2P),P2P(NL),.00000000,.00000000
2024-02-11,TOG,CASETIFY,.00000000,.00000000
2024-02-13,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-15,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-15,NEUTRAFIX,RESTAURANT,.00000000,.00000000
2024-02-16,CITIC,P2P(HK),.00000000,.00000000
2024-02-16,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-16,NEUTRAFIX,RESTAURANT,.00000000,.00000000
2024-02-18,CITIC,P2P(HK),.00000000,.00000000
2024-02-18,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-18,NEUTRAFIX,UBER,.00000000,.00000000
2024-02-18,SAP(P2P),P2P(UK),.00000000,.00000000
2024-02-19,CITIC,P2P(HK),.00000000,.00000000
2024-02-19,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-21,NEUTRAFIX,UBER,.00000000,.00000000
2024-02-21,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-21,NEUTRAFIX,VANGUARD,.00000000,.00000000
2024-02-24,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-27,NEUTRAFIX,BOYAA,.00000000,.00000000
2024-02-28,NEUTRAFIX,BOYAA,.00000000,.00000000
2024-02-02,TOG,CASETIFY,.00000000,.00000000
2024-02-03,TOG,CASETIFY,.00000000,.00000000
2024-02-05,TOG,CASETIFY,.00000000,.00000000
2024-02-06,TOG,CASETIFY,.00000000,.00000000
2024-02-10,CITIC,P2P(HK),.00000000,.00000000
2024-02-10,TOG,OKX,.00000000,.00000000
2024-02-12,CITIC,P2P(HK),.00000000,.00000000
2024-02-13,CITIC,P2P(HK),.00000000,.00000000
2024-02-15,CITIC,P2P(HK),.00000000,.00000000
2024-02-15,TOG,SECURE,.00000000,.00000000
2024-02-16,NEUTRAFIX,PDC-ALERTS,.00000000,.00000000
2024-02-16,TOG,SECURE,.00000000,.00000000
2024-02-18,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-19,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-21,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-22,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-22,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-22,SAP(P2P),X,.00000000,.00000000
2024-02-23,NEUTRAFIX,PAYONEER,.00000000,.00000000
2024-02-23,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-24,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-25,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-25,SAP(P2P),P2P(NL),.00000000,.00000000
2024-02-25,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-25,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-26,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-26,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-27,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-27,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-27,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-28,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-29,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-01,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-01,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-01,NEUTRAFIX,CAMSCANNER,.00000000,.00000000
2024-02-03,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-04,NEUTRAFIX,UBER,.00000000,.00000000
2024-02-04,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-04,CITIC,P2P(HK),.00000000,.00000000
2024-02-04,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-04,NEUTRAFIX,RESTAURANT,.00000000,.00000000
2024-02-05,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-06,CITIC,P2P(HK),.00000000,.00000000
2024-02-06,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-07,CITIC,P2P(HK),.00000000,.00000000
2024-02-09,CITIC,P2P(HK),.00000000,.00000000
2024-02-09,TOG,AILMSG1,.00000000,.00000000
2024-02-09,TOG,KUCOIN,.00000000,.00000000
2024-02-13,SAP(P2P),X,.00000000,.00000000
2024-02-15,SAP(P2P),X,.00000000,.00000000
2024-02-15,TOG,ONETIMECOD,.00000000,.00000000
2024-02-16,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-16,NEUTRAFIX,HB-2013050,.00000000,.00000000
2024-02-17,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-18,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-19,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-19,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-20,CITIC(P2P),P2P(CN),.00000000,.00000000
2024-02-21,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-22,NEUTRAFIX,JPMCPB,.00000000,.00000000
2024-02-22,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-23,NEUTRAFIX,NXSMS,.00000000,.00000000
2024-02-24,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-25,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-27,NEUTRAFIX,DAHANSMS,.00000000,.00000000
2024-02-27,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-28,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-01,D-TST_INTELLICO,X,.00000000,.00000000
2024-02-01,CITIC,P2P(HK),.00000000,.00000000
2024-02-02,SAP(P2P),P2P(IQ),.00000000,.00000000
2024-02-03,CITIC,P2P(HK),.00000000,.00000000
2024-02-03,TOG,SECURE,.00000000,.00000000
2024-02-03,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-04,NEUTRAFIX,RESTAURANT,.00000000,.00000000
2024-02-05,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-06,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-07,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-09,CITIC(P2P),P2P(CN),.00000000,.00000000
2024-02-09,NEUTRAFIX,P2P(DE),.00000000,.00000000
2024-02-10,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-12,NEUTRAFIX,BOYAA,.00000000,.00000000
2024-02-12,NEUTRAFIX,DAHANSMS,.00000000,.00000000
2024-02-15,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-16,TOG,ONETIMECOD,.00000000,.00000000
2024-02-17,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-18,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-20,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-21,NEUTRAFIX,VANGUARD,.00000000,.00000000
2024-02-21,NEUTRAFIX,UBER,.00000000,.00000000
2024-02-21,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-22,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-23,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-23,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-24,NEUTRAFIX,NXSMS,.00000000,.00000000
2024-02-24,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-25,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-26,NEUTRAFIX,NXSMS,.00000000,.00000000
2024-02-26,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-27,NEUTRAFIX,NXSMS,.00000000,.00000000
2024-02-28,NEUTRAFIX,PAYONEER,.00000000,.00000000
2024-02-29,CITIC,P2P(HK),.00000000,.00000000
2024-02-29,NEUTRAFIX,NXSMS,.00000000,.00000000
2024-02-02,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-02,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-02,NEUTRAFIX,DAHANSMS,.00000000,.00000000
2024-02-03,NEUTRAFIX,P2P(DE),.00000000,.00000000
2024-02-06,NEUTRAFIX,BOYAA,.00000000,.00000000
2024-02-06,NEUTRAFIX,P2P(DE),.00000000,.00000000
2024-02-07,NEUTRAFIX,P2P(DE),.00000000,.00000000
2024-02-09,TOG,SECURE,.00000000,.00000000
2024-02-10,TOG,SECURE,.00000000,.00000000
2024-02-11,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-12,NEUTRAFIX,JPMCPB,.00000000,.00000000
2024-02-13,NEUTRAFIX,JPMCPB,.00000000,.00000000
2024-02-14,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-14,TOG,CASETIFY,.00000000,.00000000
2024-02-15,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-16,NEUTRAFIX,NHNCORP,.00000000,.00000000
2024-02-16,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-17,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-18,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-20,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-21,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-22,NEUTRAFIX,PAYONEER,.00000000,.00000000
2024-02-23,CITIC,P2P(HK),.00000000,.00000000
2024-02-23,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-24,CITIC,P2P(HK),.00000000,.00000000
2024-02-24,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-25,NEUTRAFIX,CITIBK,.00000000,.00000000
2024-02-25,NEUTRAFIX,PAYONEER,.00000000,.00000000
2024-02-25,SAP(P2P),X,.00000000,.00000000
2024-02-26,CITIC,P2P(HK),.00000000,.00000000
2024-02-27,CITIC,P2P(HK),.00000000,.00000000
2024-02-28,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-28,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-29,LANCK TELECOM,P2P(UK),.00000000,.00000000
2024-02-01,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-03,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-03,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-04,NEUTRAFIX,UBER,.00000000,.00000000
2024-02-04,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-02-05,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-06,NEUTRAFIX,UBER,.00000000,.00000000
2024-02-06,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-08,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-09,NEUTRAFIX,KAKAO,.00000000,.00000000
2024-02-10,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-10,TOG,ADP,.00000000,.00000000
2024-02-10,TOG,CASETIFY,.00000000,.00000000
2024-02-11,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-11,SAP(P2P),X,.00000000,.00000000
2024-02-11,TOG,CASETIFY,.00000000,.00000000
2024-02-13,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-13,SAP(P2P),X,.00000000,.00000000
2024-02-13,TOG,CASETIFY,.00000000,.00000000
2024-02-13,SAP(P2P),P2P(IL),.00000000,.00000000
2024-02-14,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-14,SAP(P2P),P2P(NL),.00000000,.00000000
2024-02-14,NEUTRAFIX,WECHAT,.00000000,.00000000
2024-02-15,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-16,NEUTRAFIX,VEREMARK,.00000000,.00000000
2024-02-16,NEUTRAFIX,SECURE,.00000000,.00000000
2024-02-17,CITIC,P2P(HK),.00000000,.00000000
2024-02-17,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-17,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-18,CITIC,P2P(HK),.00000000,.00000000
2024-02-18,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-19,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-19,NEUTRAFIX,X,.00000000,.00000000
2024-02-19,NEUTRAFIX,BOYAA,.00000000,.00000000
2024-02-19,NEUTRAFIX,PAYONEER,.00000000,.00000000
2024-02-19,NEUTRAFIX,RESTAURANT,.00000000,.00000000
2024-02-20,CITIC,P2P(HK),.00000000,.00000000
2024-02-20,SAP(P2P),P2P(MY),.00000000,.00000000
2024-02-21,CITIC,P2P(HK),.00000000,.00000000
2024-02-22,CITIC(P2P),P2P(CN),.00000000,.00000000
2024-02-22,NEUTRAFIX,BOYAA,.00000000,.00000000
2024-02-27,NEUTRAFIX,DAHANSMS,.00000000,.00000000
2024-02-28,NEUTRAFIX,X,.00000000,.00000000
2024-02-29,NEUTRAFIX,JPMCPB,.00000000,.00000000
2024-02-01,TOG,SECURE,.00000000,.00000000
2024-02-03,LANCK TELECOM,OLYMPTRADE,.00000000,.00000000
2024-02-04,TOG,CASETIFY,.00000000,.00000000
2024-02-05,TOG,AMAZON,.00000000,.00000000
2024-02-05,TOG,CASETIFY,.00000000,.00000000
2024-02-06,NEUTRAFIX,DAHANSMS,.00000000,.00000000
2024-02-07,TOG,AMAZON,.00000000,.00000000
2024-02-07,TOG,CASETIFY,.00000000,.00000000
2024-02-07,NEUTRAFIX,UBER,.00000000,.00000000
2024-02-08,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-08,TOG,CASETIFY,.00000000,.00000000
2024-02-09,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-09,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-10,SAP(P2P),X,.00000000,.00000000
2024-02-10,TOG,OKX,.00000000,.00000000
2024-02-10,NEUTRAFIX,UBER,.00000000,.00000000
2024-02-11,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-11,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-12,CITIC,P2P(HK),.00000000,.00000000
2024-02-12,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-12,NEUTRAFIX,WHISPIR,.00000000,.00000000
2024-02-13,NEUTRAFIX,PAYONEER,.00000000,.00000000
2024-02-14,CITIC,P2P(HK),.00000000,.00000000
2024-02-14,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-02-15,NEUTRAFIX,P2P(DE),.00000000,.00000000
2024-02-15,CITIC,P2P(HK),.00000000,.00000000
